# LISTE COMPLÈTE DES ÉVÉNEMENTS ÉCONOMIQUES – VERSION DÉFINITIVE
# Format: Pays | Événement Original → Traduction française | Jour & Heure habituelle
# TOUS les événements de la base de données (423 events)
# Chaque événement est rattaché à UN SEUL PAYS
# Aucun doublon – Aucun événement flottant
# Date: 15 novembre 2025
# Généré automatiquement depuis: traduction.txt + DB + mapping fallback


## 🇺🇸 ÉTATS-UNIS – 169 événements
US | ADP Non-Farm Employment Change → Variation de l’emploi non agricole (ADP) | Mercredi (2 jours avant NFP) – 14h15
US | API Weekly Statistical Bulletin → Bulletin statistique hebdomadaire de l’API | Mardi – 22h30
US | Advance GDP Price Index q/q → Indice des prix avancé du PIB | Trimestriel – 14h30
US | Advance GDP q/q → Produit intérieur brut avancé | Trimestriel – 14h30
US | Average Hourly Earnings m/m → Salaires horaires moyens | 1er vendredi – 14h30
US | BSI Manufacturing Index → Indice manufacturier BSI | Variable
US | Bank Stress Test Results → Résultats des tests de résistance bancaire | Variable (Fed CCAR)
US | Beige Book → Livre beige | Mercredi (2 semaines avant FOMC) – 20h00
US | Building Permits → Permis de construire | 3e semaine – 14h30
US | Building Permits m/m → Permis de construire | 3e semaine – 14h30
US | Business Inventories m/m → Stocks des entreprises | 2e semaine – 16h00
US | CB Consumer Confidence → Indice de confiance des consommateurs (Conference Board) | Dernier mardi – 16h00
US | CB Leading Index m/m → Indice avancé (Conference Board) | 3e semaine – 16h00
US | CPI Flash Estimate y/y → Estimation flash de l’indice des prix à la consommation | Variable – 14h30
US | CPI m/m → Indice des prix à la consommation | 2e semaine – 14h30
US | CPI q/q → Indice des prix à la consommation | Trimestriel (avec PIB) – 14h30
US | CPI y/y → Indice des prix à la consommation | 2e semaine – 14h30
US | Capacity Utilization Rate → Taux d’utilisation des capacités | 3e semaine – 15h15
US | Challenger Job Cuts y/y → Réductions d’emplois Challenger | 1er jeudi – 13h30
US | Chicago PMI → Indice des directeurs d’achat de Chicago | Dernier jour ouvré – 15h45
US | Cleveland Fed Inflation Expectations → Attentes d’inflation de la Fed de Cleveland | 10e – 16h00
US | Congressional Elections → Élections au Congrès | Nov. (années paires) – non planifié
US | Construction PMI → Indice des directeurs d’achat de la construction | Variable
US | Construction Spending m/m → Dépenses de construction | 1er jour ouvré – 16h00
US | Consumer Confidence → Confiance des consommateurs | Dernier mardi – 16h00
US | Core CPI Flash Estimate y/y → Estimation flash de l’indice des prix à la consommation sous-jacent | Variable – 14h30
US | Core CPI m/m → Indice des prix à la consommation sous-jacent | 2e semaine – 14h30
US | Core CPI y/y → Indice des prix à la consommation sous-jacent | 2e semaine – 14h30
US | Core Durable Goods Orders m/m → Commandes de biens durables hors défense | 4e semaine – 14h30
US | Core PCE Price Index m/m → Indice des prix PCE sous-jacent | 4e semaine – 14h30
US | Core PPI m/m → Indice des prix à la production sous-jacent | 2e semaine – 14h30
US | Core Retail Sales m/m → Ventes au détail hors automobile | 2e semaine – 14h30
US | Core Retail Sales q/q → Ventes au détail hors automobile | 2e semaine – 14h30
US | Crude Oil Inventories → Stocks de pétrole brut | Mercredi – 16h30
US | Durable Goods Orders m/m → Commandes de biens durables | 4e semaine – 14h30
US | Empire State Manufacturing Index → Indice manufacturier de l’État de New York | 15e – 14h30
US | Employment Change q/q → Variation de l’emploi | Trimestriel (avec PIB) – 14h30
US | Employment Cost Index q/q → Indice du coût de l’emploi | Dernier mardi du mois – 14h30
US | Existing Home Sales → Ventes de logements existants | 3e semaine – 16h00
US | FOMC Economic Projections → Projections économiques du FOMC | FOMC trimestriel – 20h00
US | FOMC Financial Stability Report → Rapport sur la stabilité financière du FOMC | Mai & Novembre – 17h00
US | FOMC Meeting Minutes → Procès-verbal de la réunion du FOMC | 3 semaines après – 20h00
US | FOMC Member Barkin Speaks → Discours du membre du FOMC Barkin | Variable
US | FOMC Member Barr Speaks → Discours du membre du FOMC Barr | Variable
US | FOMC Member Bostic Speaks → Discours du membre du FOMC Bostic | Variable
US | FOMC Member Bowman Speaks → Discours du membre du FOMC Bowman | Variable
US | FOMC Member Collins Speaks → Discours du membre du FOMC Collins | Variable
US | FOMC Member Cook Speaks → Discours du membre du FOMC Cook | Variable
US | FOMC Member Daly Speaks → Discours du membre du FOMC Daly | Variable
US | FOMC Member Goolsbee Speaks → Discours du membre du FOMC Goolsbee | Variable
US | FOMC Member Hammack Speaks → Discours du membre du FOMC Hammack | Variable
US | FOMC Member Harker Speaks → Discours du membre du FOMC Harker | Variable
US | FOMC Member Jefferson Speaks → Discours du membre du FOMC Jefferson | Variable
US | FOMC Member Kashkari Speaks → Discours du membre du FOMC Kashkari | Variable
US | FOMC Member Kugler Speaks → Discours du membre du FOMC Kugler | Variable
US | FOMC Member Logan Speaks → Discours du membre du FOMC Logan | Variable
US | FOMC Member Mester Speaks → Discours du membre du FOMC Mester | Variable
US | FOMC Member Miran Speaks → Discours du membre du FOMC Miran | Variable
US | FOMC Member Musalem Speaks → Discours du membre du FOMC Musalem | Variable
US | FOMC Member Paulson Speaks → Discours du membre du FOMC Paulson | Variable
US | FOMC Member Schmid Speaks → Discours du membre du FOMC Schmid | Variable
US | FOMC Member Waller Speaks → Discours du membre du FOMC Waller | Variable
US | FOMC Member Williams Speaks → Discours du membre du FOMC Williams | Variable
US | FOMC Press Conference → Conférence de presse du FOMC | FOMC – 20h30
US | FOMC Statement → Communiqué du FOMC | FOMC – 20h00
US | Factory Orders m/m → Commandes à l’industrie | 1ère semaine – 16h00
US | Fed Chair Powell Speaks → Discours du président de la Fed Powell | Variable
US | Fed Chair Powell Testifies → Témoignage du président de la Fed Powell | Variable
US | Fed Monetary Policy Report → Rapport de politique monétaire de la Fed | Février & Juillet – 17h00
US | Federal Budget Balance → Solde budgétaire fédéral | 15e – 20h00
US | Federal Election → Élection fédérale | Non applicable
US | Federal Funds Rate → Taux des fonds fédéraux | FOMC – 20h00
US | Final CPI y/y → Indice des prix à la consommation final | 2e semaine – 14h30
US | Final Core CPI y/y → Indice des prix à la consommation sous-jacent final | 2e semaine – 14h30
US | Final Employment Change q/q → Variation finale de l’emploi | Trimestriel (finale) – 14h30
US | Final GDP Price Index q/q → Indice final des prix du PIB | Trimestriel (finale) – 14h30
US | Final GDP Price Index y/y → Indice final des prix du PIB | Trimestriel (finale) – 14h30
US | Final GDP q/q → Produit intérieur brut final | Trimestriel (finale) – 14h30
US | Final Manufacturing PMI → Indice des directeurs d’achat manufacturier final | 3e jour ouvré – 15h45
US | Final Services PMI → Indice des directeurs d’achat des services final | 5e jour ouvré – 15h45
US | Final Wholesale Inventories m/m → Stocks de grossistes définitifs | 2e semaine – 16h00
